train/mean_token_accuracy,train/entropy,train/num_tokens,_timestamp,train/loss,train/grad_norm,train/learning_rate,_step,_runtime,train/global_step,train/epoch
0.7930609176556269,0.728011088569959,1748794.0,1764930386.4763746,0.7526,0.21923454105854034,0.00017958974358974362,24,324.46656973,250,0.03
0.7880644092957179,0.7656447057922681,1815435.0,1764930398.9712873,0.7774,0.2226708084344864,0.00017856410256410256,25,336.961599427,260,0.0312
0.7945685495932897,0.7796066954731942,1883314.0,1764930411.7589211,0.7088,0.2855331599712372,0.00017753846153846154,26,349.74900223,270,0.0324
0.766675520936648,0.8593046660224597,1953837.0,1764930424.6168203,0.8337,0.24513909220695496,0.0001765128205128205,27,362.607102132,280,0.0336
0.7905109991629918,0.7338276510437329,2026693.0,1764930437.5912702,0.759,0.2107422798871994,0.0001754871794871795,28,375.581441166,290,0.0348
0.7880524535973866,0.758949302136898,2096328.0,1764930450.0744452,0.7508,0.25050607323646545,0.00017446153846153848,29,388.06471671,300,0.036
0.7741023997465769,0.8068805048863094,2165669.0,1764930463.00948,0.7946,0.22184228897094727,0.00017343589743589746,30,400.999681246,310,0.0372
0.8055768132209777,0.71774742603302,2229351.0,1764930475.3435378,0.6824,0.19874022901058197,0.0001724102564102564,31,413.333737765,320,0.0384
0.7958206584056219,0.7424946464598179,2298858.0,1764930488.1243017,0.7073,0.23742283880710602,0.0001713846153846154,32,426.11452812,330,0.0396
0.7779636442661285,0.8323056240876515,2371034.0,1764930500.9663033,0.7871,0.20100128650665283,0.00017035897435897437,33,438.956543872,340,0.0408
0.7751159032185873,0.8298393939932187,2445745.0,1764930514.1107802,0.814,0.21891485154628754,0.00016933333333333335,34,452.100925264,350,0.042
0.78540411790212,0.768629231552283,2513910.0,1764930526.8866727,0.78,0.26030588150024414,0.00016830769230769232,35,464.876833079,360,0.0432
0.8001996020476023,0.7358612934748332,2584412.0,1764930539.8105052,0.7121,0.20342564582824707,0.0001672820512820513,36,477.800681512,370,0.0444
0.7881972948710124,0.767864716053009,2651138.0,1764930552.7511566,0.7517,0.2103181779384613,0.00016625641025641027,37,490.741305557,380,0.0456
0.7926898727814357,0.7717685466011365,2722828.0,1764930566.0221672,0.7382,0.23869365453720093,0.00016523076923076924,38,504.012411446,390,0.0468
0.776071251432101,0.8043515339493752,2787164.0,1764930578.1345313,0.7614,0.21437181532382965,0.0001642051282051282,39,516.12472544,400,0.048
0.781446585059166,0.8084615816672643,2863918.0,1764930592.958157,0.7895,0.21730005741119385,0.00016317948717948719,40,530.948468455,410,0.0492
0.7928147127230962,0.7460518981019656,2937248.0,1764930606.1048136,0.7198,0.18351435661315918,0.00016215384615384616,41,544.095020361,420,0.0504
0.7783954580624898,0.8103704611460368,3000791.0,1764930618.7328389,0.8008,0.29370981454849243,0.00016112820512820513,42,556.723121769,430,0.0516
0.786826741695404,0.7659412903090318,3063465.0,1764930631.1100106,0.7522,0.2859450578689575,0.0001601025641025641,43,569.100178626,440,0.0528
0.7923798511425654,0.7520828838149707,3130654.0,1764930643.4720166,0.7346,0.19546371698379517,0.00015907692307692308,44,581.462171842,450,0.054
0.7950154125690461,0.7495178793867429,3200995.0,1764930656.102026,0.7135,0.16170822083950043,0.00015805128205128205,45,594.092213867,460,0.0552
0.792937504251798,0.7487638210256894,3271612.0,1764930668.5248194,0.7404,0.1603931337594986,0.00015702564102564102,46,606.515036515,470,0.0564
0.8070774883031845,0.6904142747322718,3341196.0,1764930681.1242695,0.6579,0.206973135471344,0.00015600000000000002,47,619.114431524,480,0.0576
0.7870631883541743,0.7774112716317176,3411259.0,1764930693.9007845,0.7643,0.2090875804424286,0.000154974358974359,48,631.891044188,490,0.0588
0.7788252224524815,0.8249710068106652,3482752.0,1764930706.8636587,0.821,0.22099511325359344,0.00015394871794871794,49,644.854006695,500,0.06
0.7741848270098368,0.8155119468768438,3549984.0,1764930719.827596,0.8326,0.25117188692092896,0.00015292307692307692,50,657.81771387,510,0.0612
0.7967574089765549,0.7284461667140325,3619407.0,1764930732.126795,0.6937,0.21516355872154236,0.0001518974358974359,51,670.116954191,520,0.0624
0.7959218670924505,0.7420087685187657,3684180.0,1764930744.185925,0.7011,0.24922460317611694,0.0001508717948717949,52,682.176103059,530,0.0636
0.7810135314861933,0.7875614990790685,3749475.0,1764930756.8833318,0.778,0.21505066752433777,0.00014984615384615386,53,694.873448768,540,0.0648
0.7899801919857661,0.7912708202997843,3815871.0,1764930769.5336905,0.741,0.21100439131259918,0.00014882051282051284,54,707.524043756,550,0.066
0.790338608622551,0.739156677822272,3886709.0,1764930782.6922188,0.7103,0.1943700611591339,0.00014779487179487178,55,720.682322505,560,0.0672
0.790204202135404,0.7685315032800039,3956050.0,1764930795.246457,0.7553,0.2263471484184265,0.00014676923076923078,56,733.236592532,570,0.0684
0.7786122928063075,0.8138163521885872,4024400.0,1764930808.2938972,0.8072,0.2271721512079239,0.00014574358974358975,57,746.284081312,580,0.0696
0.7879583150148392,0.7525405392050744,4084925.0,1764930820.735622,0.759,0.25158342719078064,0.00014471794871794873,58,758.725803183,590,0.0708
0.7888633986314137,0.747679489850998,4156524.0,1764930834.0365038,0.7296,0.20019952952861786,0.0001436923076923077,59,772.026700326,600,0.072
0.7795934816201527,0.8075745792438587,4228331.0,1764930847.6771107,0.7723,0.19549088180065155,0.00014266666666666667,60,785.667237757,610,0.0732
0.7886482228835424,0.7824228445688883,4294934.0,1764930860.1206362,0.7764,0.28045153617858887,0.00014164102564102565,61,798.110981807,620,0.0744
0.792601403594017,0.7452804699540139,4367278.0,1764930872.9842002,0.7518,0.17472204566001892,0.00014061538461538462,62,810.974415907,630,0.0756
